algorithm,grid_rows,grid_cols,obstacle_density,seed,instance_seed,start_row,start_col,goal_row,goal_col,found,runtime_ms,nodes_expanded,path_cost
astar,128,128,0.35,0,0,86,92,64,9,True,16.626799999812647,1682,121.28427124746186
theta_star,128,128,0.35,0,0,86,92,64,9,True,21.607700000004115,1356,106.14921347060847
jps,128,128,0.35,0,0,86,92,64,9,True,54.96529999982158,1872,133.76955262170043
astar,128,128,0.35,1,1000,19,5,77,35,True,7.248399999753019,653,82.97056274847714
theta_star,128,128,0.35,1,1000,19,5,77,35,True,8.17060000008496,499,76.70843982358123
jps,128,128,0.35,1,1000,19,5,77,35,True,21.519999999782158,694,86.38477631085021
astar,128,128,0.35,2,2000,3,94,36,32,True,15.396599999803584,1586,107.87005768508877
theta_star,128,128,0.35,2,2000,3,94,36,32,True,24.619299999812938,1544,97.8713925698462
jps,128,128,0.35,2,2000,3,94,36,32,True,42.416100000082224,1473,115.28427124746187
astar,128,128,0.35,3,3000,47,16,68,60,True,8.525100000042585,859,94.55634918610403
theta_star,128,128,0.35,3,3000,47,16,68,60,True,11.563699999896926,753,83.51397135581053
jps,128,128,0.35,3,3000,47,16,68,60,True,23.00580000019181,785,96.55634918610403
astar,128,128,0.35,4,4000,127,14,126,63,True,7.574899999781337,797,106.1837661840735
theta_star,128,128,0.35,4,4000,127,14,126,63,True,8.985599999959959,662,93.18219398792661
jps,128,128,0.35,4,4000,127,14,126,63,False,2.1636000001308275,74,inf
astar,128,128,0.35,5,5000,45,123,96,121,True,12.842799999816634,1488,109.52691193458115
theta_star,128,128,0.35,5,5000,45,123,96,121,True,18.88490000010279,1342,97.8032279082666
jps,128,128,0.35,5,5000,45,123,96,121,True,44.0296000001581,1625,119.04163056034258
astar,128,128,0.35,6,6000,7,81,29,37,True,6.874900000184425,772,70.14213562373094
theta_star,128,128,0.35,6,6000,7,81,29,37,True,9.454699999878358,604,62.646429914565104
jps,128,128,0.35,6,6000,7,81,29,37,True,23.509899999680783,839,74.97056274847712
astar,128,128,0.35,7,7000,47,112,50,6,True,42.30340000003707,4337,189.9116882454315
theta_star,128,128,0.35,7,7000,47,112,50,6,True,44.690600000194536,3165,167.98089216292072
jps,128,128,0.35,7,7000,47,112,50,6,True,151.9351000001734,5478,211.76955262170048
astar,128,128,0.35,8,8000,118,94,78,58,True,8.195899999918765,832,80.38477631085021
theta_star,128,128,0.35,8,8000,118,94,78,58,True,7.32140000036452,500,68.81478412376158
jps,128,128,0.35,8,8000,118,94,78,58,True,25.797599999805243,868,92.3847763108502
astar,128,128,0.35,9,9000,50,125,58,51,True,8.61380000014833,894,92.97056274847712
theta_star,128,128,0.35,9,9000,50,125,58,51,True,11.106699999800185,722,85.17317005248414
jps,128,128,0.35,9,9000,50,125,58,51,True,26.177700000062032,827,97.2132034355964
astar,128,128,0.4,0,4,61,48,37,77,True,5.8042000000568805,652,79.72792206135784
theta_star,128,128,0.4,0,4,61,48,37,77,True,7.131899999876623,559,70.19007814767127
jps,128,128,0.4,0,4,61,48,37,77,False,155.68609999991168,6227,inf
astar,128,128,0.4,1,1003,37,94,92,21,True,25.457600000208913,2412,156.2842712474619
theta_star,128,128,0.4,1,1003,37,94,92,21,True,26.2668999998823,2005,137.6166956477373
jps,128,128,0.4,1,1003,37,94,92,21,True,72.34770000013668,2548,168.28427124746196
astar,128,128,0.4,2,2000,3,94,36,32,True,11.277500000232976,1342,143.87005768508877
theta_star,128,128,0.4,2,2000,3,94,36,32,True,16.84720000002926,1275,126.418294598588
jps,128,128,0.4,2,2000,3,94,36,32,True,31.03370000007999,1267,151.62741699796953
astar,128,128,0.4,3,3000,47,16,29,105,True,29.7869000000901,3196,243.6690475583123
theta_star,128,128,0.4,3,3000,47,16,29,105,True,40.01659999994445,2951,209.80969464115367
jps,128,128,0.4,3,3000,47,16,29,105,True,95.76210000022911,3760,281.6690475583123
astar,128,128,0.4,4,4001,106,2,110,67,True,6.8701999998666,795,102.7989898732233
theta_star,128,128,0.4,4,4001,106,2,110,67,True,8.285699999760254,662,93.27885289568117
jps,128,128,0.4,4,4001,106,2,110,67,False,0.8749999997235136,44,inf
astar,128,128,0.4,5,5000,45,123,96,121,True,40.04080000004251,4603,282.74011537017776
theta_star,128,128,0.4,5,5000,45,123,96,121,True,84.03679999992164,4176,247.10154299125074
jps,128,128,0.4,5,5000,45,123,96,121,False,37.95190000028015,1624,inf
astar,128,128,0.4,6,6000,7,81,29,37,True,7.2298999998565705,829,112.62741699796949
theta_star,128,128,0.4,6,6000,7,81,29,37,True,9.972199999992881,754,99.48720262295924
jps,128,128,0.4,6,6000,7,81,29,37,True,41.487100000267674,1666,182.76955262170048
astar,128,128,0.4,7,7000,47,112,113,113,True,17.762500000117143,2016,152.94112549695436
theta_star,128,128,0.4,7,7000,47,112,113,113,True,24.45579999994152,1840,133.80470908339393
jps,128,128,0.4,7,7000,47,112,113,113,False,93.27929999972184,3813,inf
astar,128,128,0.4,8,8001,120,77,119,118,True,6.387500000073487,735,82.38477631085021
theta_star,128,128,0.4,8,8001,120,77,119,118,True,9.40870000022187,647,72.95133292605107
jps,128,128,0.4,8,8001,120,77,119,118,True,17.090400000142836,648,84.38477631085021
astar,128,128,0.4,9,9005,29,118,117,69,True,24.938799999745243,2335,191.18376618407365
theta_star,128,128,0.4,9,9005,29,118,117,69,True,31.708600000001752,1945,172.27445007898075
jps,128,128,0.4,9,9005,29,118,117,69,True,76.2203999997837,3026,225.52691193458128
astar,256,256,0.35,0,0,98,49,173,184,True,80.84839999992255,9045,234.81118318204327
theta_star,256,256,0.35,0,0,98,49,173,184,True,108.76589999998032,7234,208.11378508888095
jps,256,256,0.35,0,0,98,49,173,184,True,322.97939999989467,11680,270.81118318204324
astar,256,256,0.35,1,1000,100,178,97,63,True,38.63679999994929,4320,167.35533905932743
theta_star,256,256,0.35,1,1000,100,178,97,63,True,27.93089999977383,2035,141.5534448035035
jps,256,256,0.35,1,1000,100,178,97,63,True,158.69720000000598,5772,186.4264068711929
astar,256,256,0.35,2,2000,169,107,64,174,True,64.26180000016757,6452,192.7695526217005
theta_star,256,256,0.35,2,2000,169,107,64,174,True,78.31750000013926,5430,170.19732093399546
jps,256,256,0.35,2,2000,169,107,64,174,True,199.1475999998329,7037,206.52691193458122
astar,256,256,0.35,3,3000,59,210,136,162,True,18.989799999872048,2076,128.94112549695421
theta_star,256,256,0.35,3,3000,59,210,136,162,True,22.733700000117096,1628,114.29405540043707
jps,256,256,0.35,3,3000,59,210,136,162,True,60.05770000001576,2110,138.94112549695427
astar,256,256,0.35,4,4000,254,28,252,126,True,13.33569999997053,1169,134.1837661840735
theta_star,256,256,0.35,4,4000,254,28,252,126,True,10.784999999941647,756,119.5322372833071
jps,256,256,0.35,4,4000,254,28,252,126,True,35.79009999975824,1270,141.94112549695427
astar,256,256,0.35,5,5001,138,23,88,134,True,47.00409999986732,3585,168.254833995939
theta_star,256,256,0.35,5,5001,138,23,88,134,True,33.2589999998163,2078,147.2332645303817
jps,256,256,0.35,5,5001,138,23,88,134,True,148.77759999990303,5090,189.6690475583122
astar,256,256,0.35,6,6000,139,201,176,94,True,20.127400000092166,2240,142.32590180780448
theta_star,256,256,0.35,6,6000,139,201,176,94,True,18.754700000044977,1260,128.98627434434377
jps,256,256,0.35,6,6000,139,201,176,94,True,64.17389999978695,2127,145.15432893255073
astar,256,256,0.35,7,7000,95,225,101,12,True,88.34509999996953,9942,292.88225099390877
theta_star,256,256,0.35,7,7000,95,225,101,12,True,94.43539999983841,6771,258.9058771971919
jps,256,256,0.35,7,7000,95,225,101,12,True,406.7912999998953,13702,320.88225099390877
astar,256,256,0.35,8,8000,236,189,156,117,True,39.484599999923375,4293,158.42640687119285
theta_star,256,256,0.35,8,8000,236,189,156,117,True,38.57450000032259,2648,137.56918940712913
jps,256,256,0.35,8,8000,236,189,156,117,True,121.71960000023319,4177,169.01219330881983
astar,256,256,0.35,9,9000,101,250,117,102,True,38.594699999976,3283,205.01219330881986
theta_star,256,256,0.35,9,9000,101,250,117,102,True,36.52670000019498,2533,184.7297305814541
jps,256,256,0.35,9,9000,101,250,117,102,True,91.16399999993519,3359,220.08326112068534
astar,256,256,0.4,0,1,238,188,74,197,True,57.560600000215345,6693,271.4680374315357
