algorithm,grid_rows,grid_cols,obstacle_density,mean_runtime_ms,std_runtime_ms,mean_nodes_expanded,std_nodes_expanded,mean_path_cost,std_path_cost,num_runs
astar,128,128,0.35,13.42025999992984,10.740460720340383,1390.0,1102.22885302665,105.58010819142763,33.43649329606691,10
astar,128,128,0.4,17.555590000029042,11.99638475825397,1891.5,1292.8902376716544,154.82274887854697,67.55877230257734,10
astar,256,256,0.35,44.96283999997104,25.70920170926149,4640.5,2950.6645296723696,182.4962553521764,50.948510705694325,10
astar,256,256,0.4,67.39474000009977,31.239708201565342,7511.5,3568.5188726479287,330.05798692519693,146.31548440208235,10
astar,512,512,0.35,283.54011000001265,207.5748460803898,27457.2,19817.311196695344,427.1145453154066,118.61776251060613,10
astar,512,512,0.4,426.56158000004325,229.48295217119215,42478.6,24047.39825705337,823.915172927723,365.279443012268,10
jps,128,128,0.35,45.9285666666397,41.464098449342146,1606.7777777777778,1513.553086100532,114.1527416714537,40.79793345134963,9
jps,128,128,0.4,55.65690000010667,30.34576588735734,2152.5,1165.143038429188,182.37699611181264,67.03371907910335,6
jps,256,256,0.35,160.92983999992612,120.1493268302302,5632.4,4149.842010379565,198.9447834896003,59.085462846519725,10
jps,256,256,0.4,182.71836666652538,96.5941072445758,7356.5,3915.674130976683,339.3111831820434,134.42227059525624,6
jps,512,512,0.35,947.6554600000327,718.263044883144,30261.1,22231.690861120853,457.9003317530334,126.52161469717824,10
jps,512,512,0.4,1039.6503666667438,482.08064812097837,36361.0,16146.105437535085,811.9736409871412,332.2746090947637,6
theta_star,128,128,0.35,16.64052000000993,11.572931318871332,1114.7,816.8812031134024,93.98437153697712,29.354355370828255,10
theta_star,128,128,0.4,25.813039999957255,23.297988876149816,1681.4,1175.1332028516788,136.2932853633467,58.376177166516186,10
theta_star,256,256,0.35,47.00833000001694,34.11944691497165,3237.3,2346.5768472393997,161.11151795706246,45.33263435000042,10
theta_star,256,256,0.4,86.07748999997966,44.0637657511381,6573.3,3491.489209492133,289.3519183700522,129.15042940428125,10
theta_star,512,512,0.35,304.00018000000273,221.59618765212645,19269.0,13716.517074923453,377.63574136353986,104.08112788890539,10
theta_star,512,512,0.4,651.3726700000007,484.36574058977953,37239.3,24107.95868149954,718.9734273473896,321.1173704730545,10
