algorithm,grid_rows,grid_cols,obstacle_density,mean_runtime_ms,std_runtime_ms,mean_nodes_expanded,std_nodes_expanded,mean_path_cost,std_path_cost,num_runs
astar,128,128,0.05,5.292039999039844,3.568951810029327,298.5,150.12901858808718,68.7641702347842,19.527714936443587,10
astar,128,128,0.15,6.174769997596741,3.638381945792205,522.9,332.44763998761266,74.85411972844537,24.55500068927677,10
astar,128,128,0.25,8.428420010022819,6.127252219151908,837.2,630.0064902663922,81.41442276647837,20.61416281550173,10
astar,128,128,0.35,12.35321998829022,9.896413986114108,1390.0,1102.22885302665,105.58010819142763,33.43649329606691,10
astar,256,256,0.05,13.251670001773164,8.689514203104943,1081.9,725.7626563369965,148.39646455628161,36.39365440748924,10
astar,256,256,0.15,21.73703999724239,11.538923630312226,1954.4,1041.8316349370255,149.7094587877728,38.23127893474214,10
astar,256,256,0.25,36.26363999792375,18.858245160018207,3433.6,1900.4486137050203,163.01828996322965,39.84688035827209,10
astar,256,256,0.35,46.2789699959103,28.98267629137352,4640.5,2950.6645296723696,182.4962553521764,50.948510705694325,10
astar,512,512,0.05,85.70605998975225,45.944600448348886,7048.2,3339.656795407443,302.0963779011043,68.05769103380162,10
astar,512,512,0.15,76.69785000616685,78.59890425377738,8071.4,8156.644860344098,308.37282809988625,98.79669397147521,10
astar,512,512,0.25,135.23726999992505,121.06425468500576,15700.9,13534.638971912033,336.4412480458824,104.10601384245133,10
astar,512,512,0.35,207.39416999858804,151.803512350751,27457.2,19817.311196695344,427.1145453154066,118.61776251060613,10
astar,1024,1024,0.05,288.08960999595,156.30298440554117,28160.6,15229.744429168135,588.5515436500773,145.35514457185178,10
astar,1024,1024,0.15,322.7184700022917,177.59822760907176,32774.5,17186.485900588028,604.2562117695,150.71668968112547,10
astar,1024,1024,0.25,525.3991099947598,301.57938719135456,58431.2,32267.7869874379,655.2028063085482,185.3890129259443,10
astar,1024,1024,0.35,575.4621700034477,416.23119869952626,71132.1,47547.40912546597,696.2838020778247,220.9948141505635,10
jps,128,128,0.05,6.261577784445965,3.6732573333715197,239.66666666666666,146.78215150351218,106.25053711065988,25.03597992296234,9
jps,128,128,0.15,13.028899993514642,9.326517547735198,806.0,583.0080616938328,152.20710678118655,68.8372221992434,6
jps,128,128,0.25,9.679049981059507,2.667560352744061,796.5,210.0107140124046,190.5,19.091883092036785,2
jps,256,256,0.05,27.45477778242073,20.16750753968459,1300.0,996.996364085647,208.4057559572899,60.4220707632727,9
jps,256,256,0.15,46.40059999655932,30.39374408073281,3374.285714285714,2209.3393216288073,263.410008240727,63.2866097799729,7
jps,256,256,0.25,51.93789998884313,16.424534874259447,3878.0,1460.8826099314072,387.20710678118655,117.67261889578035,2
jps,512,512,0.05,123.3049124784884,67.30740464581764,5619.0,2324.570252141857,420.01929111656887,75.83352074625397,8
jps,512,512,0.15,175.08144999010256,158.5550282186252,14819.5,13237.10882330428,519.6302038200429,180.2510947975949,8
jps,1024,1024,0.05,446.32962221900624,180.83149469036198,24800.11111111111,10133.907963422162,834.0552749647843,173.4483739539535,9
jps,1024,1024,0.15,568.0035250043147,284.67529396900926,46866.25,22468.92582943322,943.9016504294495,218.49989948897075,8
theta_star,128,128,0.05,6.7925200157333165,5.00690840774251,101.9,68.0823847343137,65.60954682150279,19.24749933614066,10
theta_star,128,128,0.15,5.510390002746135,3.097917889342302,195.5,123.3993066791256,70.23410460190932,23.04673570675258,10
theta_star,128,128,0.25,7.607710000593215,5.438157814734705,432.0,318.7583550103258,74.10915368323401,19.511503750993583,10
theta_star,128,128,0.35,15.410260000498965,11.102088709662242,1114.7,816.8812031134024,93.98437153697712,29.354355370828255,10
theta_star,256,256,0.05,15.798720007296652,12.031801015762731,281.2,203.17414533678576,142.93098145892742,35.85338693704208,10
theta_star,256,256,0.15,15.863960015121847,11.477781751087006,650.7,508.551548791052,142.0687084662897,37.175370304244815,10
theta_star,256,256,0.25,24.819409986957908,16.54491069621364,1322.4,981.4902727768399,148.63398353325232,36.792519847114384,10
theta_star,256,256,0.35,46.19361999211833,33.00565622666263,3237.3,2346.5768472393997,161.11151795706246,45.33263435000042,10
theta_star,512,512,0.05,33.733460010262206,14.670914450733715,619.5,388.3183831170843,290.9802111910806,68.64743139612995,10
theta_star,512,512,0.15,23.317889991449192,17.84001564060268,1148.4,1006.0951136834816,293.9556780344652,94.05740730216944,10
theta_star,512,512,0.25,47.925740003120154,39.06584056643721,3149.5,2390.4169905873932,309.281267016277,95.12607569728041,10
theta_star,512,512,0.35,226.9463499833364,163.78665373273012,19269.0,13716.517074923453,377.63574136353986,104.08112788890539,10
theta_star,1024,1024,0.05,75.38248001364991,51.76048531430952,1679.1,1410.8341464852942,568.239700181329,145.21876007554908,10
theta_star,1024,1024,0.15,122.78845999971963,153.15643610376017,6058.4,7267.043081993911,575.6359935164669,146.97959895351983,10
theta_star,1024,1024,0.25,300.4585400223732,298.0376894041663,20729.1,20189.32883398224,601.8980286190753,171.34609023907169,10
theta_star,1024,1024,0.35,558.7047400011215,414.26556109344466,45955.6,33229.25577191815,617.6689296137263,198.72312826195767,10
